MAE,RMSE,WMAPE,SMAPE,Mean_Error,Bias_Ratio,Model,Segment,Grain
61.35154384715012,116.83325791372313,0.4743861319848371,0.6980289251117298,-21.375954561002892,-0.16528445358997823,LightGBM_monthly_minimal_features,Overall,monthly
38.58951138404628,57.04203953238816,0.4819843303348858,0.6671749055246341,-2.8619208605079267,-0.03574549041824941,LightGBM_monthly_minimal_features,Group: UNKNOWN,monthly
48.93943694521155,101.14886501771763,0.3754944011141551,0.5958799330873594,-24.54019860954639,-0.18828796887119995,LightGBM_monthly_minimal_features,Group: KIDBIKE_1,monthly
73.13473263840503,112.29933052151549,0.8624378848868517,0.6334501822851075,66.22910814580258,0.7810036337948417,LightGBM_monthly_minimal_features,Group: KIDBIKE_2,monthly
109.53516309088624,179.55772637141635,0.43561409063784545,0.5263638993087607,-67.60612102288741,-0.2688650667046626,LightGBM_monthly_minimal_features,Group: CITYBIKE_P,monthly
12.552796749612748,23.13148871071026,0.5926213057757092,1.2179523145983986,-5.69572285949216,-0.268896787357999,LightGBM_monthly_minimal_features,Group: SPORTBIKE_S,monthly
31.88944920236729,58.41906054896604,0.6520147606431974,0.8962709042597001,-26.28419812776938,-0.5374092554004892,LightGBM_monthly_minimal_features,Group: SPORTBIKE_A,monthly
32.76118136806769,55.40069538829732,0.5370685470175031,0.7595113115854875,-6.355467297796059,-0.10418798848845998,LightGBM_monthly_minimal_features,Volume: Low Volume,monthly
164.40982720198215,227.57417742731252,0.43769332402706984,0.4764063692179516,-75.51957144000427,-0.2010488838484512,LightGBM_monthly_minimal_features,Volume: High Volume,monthly
64.53873272616454,107.33054251587563,0.4990303073292685,0.711029678773641,2.295631249745687,0.01775041931696981,XGBoost_monthly_minimal_features,Overall,monthly
44.811599203880796,68.32319105574533,0.5596984221584899,0.70003821675264,7.986305216525463,0.0997492280565232,XGBoost_monthly_minimal_features,Group: UNKNOWN,monthly
57.53107533631501,84.15865365987892,0.44141490027863184,0.7581597179408932,3.029169683103208,0.023241711123554026,XGBoost_monthly_minimal_features,Group: KIDBIKE_1,monthly
112.02677863836288,157.18763717082376,1.3210705028108831,0.8722758096291494,97.08231216669083,1.144838586871354,XGBoost_monthly_minimal_features,Group: KIDBIKE_2,monthly
